Disease,Symptom,Description,Precautions,Specialist,Is_Emergency
Fungal infection,itching nodal skin eruptions dischromic  patches skin rash,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Dermatologist,False
Allergy,shivering continuous sneezing chills watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Allergist,False
GERD,chest pain stomach pain acidity ulcers on tongue vomiting cough,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Gastroenterologist,False
Chronic cholestasis,yellowish skin abdominal pain loss of appetite nausea yellowing of eyes itching vomiting,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Gastroenterologist,False
Drug Reaction,stomach pain skin rash spotting  urination burning micturition itching,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up",Allergist or General Physician,False
Peptic ulcer diseae,abdominal pain loss of appetite passage of gases indigestion vomiting internal itching,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Gastroenterologist,False
AIDS,muscle wasting patches in throat high fever extra marital contacts,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up",Infectious Disease Specialist,False
Diabetes,weight loss increased appetite blurred and distorted vision polyuria lethargy obesity excessive hunger fatigue irregular sugar level restlessness,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","have balanced diet, exercise, consult doctor, follow up",General Physician,False
Gastroenteritis,sunken eyes dehydration diarrhoea vomiting,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","stop eating solid food for while, try taking small sips of water, rest, ease back into eating",Gastroenterologist,False
Bronchial Asthma,family history breathlessness mucoid sputum high fever cough fatigue,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.","switch to loose cloothing, take deep breaths, get away from trigger, seek help",Pulmonologist,False
Hypertension,chest pain loss of balance headache lack of concentration dizziness,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.","meditation, salt baths, reduce stress, get proper sleep",General Physician,False
Migraine,depression stiff neck headache acidity blurred and distorted vision indigestion visual disturbances excessive hunger irritability,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.","meditation, reduce stress, use poloroid glasses in sun, consult doctor",Neurologist,False
Cervical spondylosis,weakness in limbs loss of balance back pain neck pain dizziness,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor",Orthopedist,False
Paralysis (brain hemorrhage),weakness of one body side altered sensorium vomiting headache,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.","massage, eat healthy, exercise, consult doctor",Neurologist,True
Jaundice,weight loss yellowish skin abdominal pain itching high fever vomiting fatigue dark urine,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication",Gastroenterologist,False
Malaria,diarrhoea headache nausea muscle pain high fever vomiting chills sweating,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Infectious Disease Specialist,False
Chicken pox,red spots over body loss of appetite mild fever headache skin rash malaise swelled lymph nodes itching lethargy high fever fatigue,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.","use neem in bathing, consume neem leaves, take vaccine, avoid public places",General Physician,False
